dbn,school,total_enrollment,amount_owed,district_name,district_no,assembly_district,senate_district
,PS 97 FOREST PARK,678,1808168.95,District 27,27,038,15
,JHS 210 ELIZABETH BLACKWELL,1935,5160482.18,District 27,27,038,15
,ROSA PARKS SCHOOL (THE),611,1629485.59,District 27,27,038,15
,PS 273,220,586721.49,District 27,27,038,10
,NEW YORK CITY ACADEMY FOR DISCOVERY,443,1181443.72,District 27,27,038,10
,"HS FOR CON, TRADES, ENGINEER AND ARC",945,2520235.48,District 27,27,038,10
,IS 5 WALTER CROWLEY INTERMEDIATE,1621,4323070.60,District 24,24,039,16
,PS 7 LOUIS F SIMEONE,1117,2978945.01,District 24,24,039,16
,PS 14 FAIRVIEW,1675,4467084.06,District 24,24,039,13
,PS 28 THM EMAN EARLY CHILD CTR,533,1421466.15,District 24,24,039,13
,IS 61 LEONARDO DA VINCI,2347,6259251.51,District 24,24,039,13
,PS 89 ELMHURST,1986,5296494.89,District 24,24,039,13
,51ST AVENUE ACADEMY (THE),526,1402797.74,District 24,24,039,16
,CIVIC LEADERSHIP ACADEMY,455,1213446.71,District 24,24,039,13
,PAN AMERICAN INTERNATIONAL HS,360,960089.71,District 24,24,039,13
,VOYAGES PREPARATORY,184,490712.52,District 24,24,039,13
,PS 69 JACKSON HEIGHTS,1163,3101623.14,District 30,30,039,13
,PS 20 JOHN BOWNE,1332,3552331.92,District 25,25,040,16
,PS 21 EDWARD HART,1260,3360313.98,District 25,25,040,11
,PS 22 THOMAS JEFFERSON,733,1954849.32,District 25,25,040,16
,JHS 185 EDWARD BLEEKER,1523,4061712.85,District 25,25,040,11
,JHS 189 DANIEL CARTER BEARD,748,1994853.06,District 25,25,040,16
,PS 214 CADWALLADER COLDEN,441,1176109.89,District 25,25,040,11
,PS 242 LP STAVISKY EARLY CHILDHOOD,390,1040097.18,District 25,25,040,11
,ACTIVE LEARNING ELEMENTARY SCH (THE),397,1058765.59,District 25,25,040,16
,FLUSHING INTRNL HIGH SCHOOL,401,1069433.26,District 25,25,040,16
,FLUSHING HIGH SCHOOL,2559,6824637.67,District 25,25,040,16
,QUEENS ACADEMY HIGH SCHOOL,297,792074.01,District 25,25,040,11
,PS 811 CONNIE LEKAS SCHOOL,340,906751.39,District 75,75,041,19
,JHS 14 SHELL BANK,556,1482805.22,District 22,22,041,19
,PS 52 SHEEPSHEAD BAY,746,1989519.23,District 22,22,041,22
,PS 119 AMERSFORT,420,1120104.66,District 22,22,041,21
,PS 194 RAOUL WALLENBERG,415,1106770.08,District 22,22,041,19
,PS 197-THE KINGS HIGHWAY ACADEMY,511,1362794.00,District 22,22,041,17
,PS 206 JOSEPH F LAMB,1330,3546998.09,District 22,22,041,19
,PS 222 KATHERINE R SNYDER,803,2141533.43,District 22,22,041,22
,JHS 278 MARINE PARK,1068,2848266.13,District 22,22,041,22
,PS 326,206,549384.67,District 22,22,041,21
,IS 381,383,1021428.77,District 22,22,041,17
,JAMES MADISON HIGH SCHOOL,3087,8232769.25,District 22,22,041,17
,SHEEPSHEAD BAY HIGH SCHOOL,1140,3040284.08,District 22,22,041,19
,PS 6,727,1938847.83,District 17,17,042,21
,PS 181,1012,2698918.85,District 17,17,042,21
,MS 246 WALT WHITMAN,603,1608150.26,District 17,17,042,21
,PS 249 THE CATON,865,2306882.21,District 17,17,042,21
,PS 399 STANLEY EUGENE CLARKE,502,1338791.76,District 17,17,042,21
,ACAD FOR COLLEGE PREP AND CAREER EXP,524,1397463.91,District 17,17,042,21
,ACADEMY OF HOSPITALITY AND TOURISM,313,834744.66,District 17,17,042,21
,HIGH SCHOOL-YOUTH & COMM DVLPMNT,338,901417.56,District 17,17,042,21
,HIGH SCHOOL-SVC & LRNG,429,1144106.90,District 17,17,042,21
,"SCIENCE, TECH & RESEARCH HIGH SCH",535,1426799.98,District 17,17,042,21
,SCHOOL OF SCIENCE AND TECHNOLOGY,878,2341552.12,District 22,22,042,21
,PS 193 GIL HODGES,851,2269545.39,District 22,22,042,17
,ANDRIES HUDDE SCHOOL,915,2440228.01,District 22,22,042,17
,PS 245,277,738735.69,District 22,22,042,21
,PS 269 NOSTRAND,394,1050764.85,District 22,22,042,21
,PS 315,802,2138866.52,District 22,22,042,21
,PS 361 E FLATBUSH EARLY CHILDHOOD,594,1584148.02,District 22,22,042,21
,MIDWOOD HIGH SCHOOL,3869,10318297.44,District 22,22,042,21
,PS 141,376,1002760.36,District 75,75,043,20
,PARKSIDE PREP ACADEMY,473,1261451.20,District 17,17,043,20
,MS 61 GLADSTONE H ATWELL,783,2088195.11,District 17,17,043,20
,PS 91 THE ALBANY AVE SCHOOL,457,1218780.55,District 17,17,043,20
,PS 92 ADRIAN HEGEMAN,461,1229448.21,District 17,17,043,20
,PS 138,654,1744162.97,District 17,17,043,25
,PS 161 THE CROWN,537,1432133.81,District 17,17,043,20
,PS 221 TOUSSAINT L'OUVERTURE,414,1104103.16,District 17,17,043,20
,PS 289 GEORGE V BROWER,483,1288120.36,District 17,17,043,25
,PS 397 FOSTER-LAURIE,340,906751.39,District 17,17,043,20
,MIDDLE SCHOOL FOR THE ARTS,97,258690.84,District 17,17,043,20
,SCHOOL FOR HUMAN RIGHTS (THE),413,1101436.25,District 17,17,043,20
,SCHOOL FOR DEMOCRACY & LDRSHP,320,853413.07,District 17,17,043,20
,INTERNATIONAL ARTS BUSINESS SCHOOL,85,226687.85,District 17,17,043,20
,HS FOR PUBLIC SERVICE-HEROES OF TOM,437,1165442.23,District 17,17,043,20
,MEDGAR EVERS COLLEGE PREP SCHOOL,1245,3320310.24,District 17,17,043,20
,PS 235  LENOX SCHOOL,1210,3226968.19,District 18,18,043,20
,PS 107 JOHN W KIMBALL,583,1554811.94,District 15,15,044,21
