dbn,school,total_enrollment,amount_owed,district_name,district_no,assembly_district,senate_district
,ART AND DESIGN HIGH SCHOOL,1427,3805688.93,District 2,2,073,28
,PS 94,295,786740.18,District 75,75,074,26
,PS 226,299,797407.84,District 75,75,074,27
,PS 15 ROBERTO CLEMENTE,161,429373.45,District 1,1,074,26
,PS 34 FRANKLIN D ROOSEVELT,372,992092.70,District 1,1,074,27
,STAR ACADEMY PS 63 (THE),160,426706.54,District 1,1,074,26
,PS 64 ROBERT SIMON,256,682730.46,District 1,1,074,27
,PS 188 ISLAND SCHOOL (THE),471,1256117.37,District 1,1,074,26
,EAST VILLAGE COMMUNITY SCHOOL (THE),239,637392.89,District 1,1,074,27
,CHILDREN'S WORKSHOP SCHOOL (THE),220,586721.49,District 1,1,074,27
,NEIGHBORHOOD SCHOOL,284,757404.10,District 1,1,074,26
,EARTH SCHOOL,302,805408.59,District 1,1,074,27
,TOMPKINS SQUARE MIDDLE SCHOOL,376,1002760.36,District 1,1,074,27
,EAST SIDE COMMUNITY SCHOOL,650,1733495.31,District 1,1,074,27
,BARD HIGH SCHOOL EARLY COLLEGE,563,1501473.63,District 1,1,074,26
,PS 40 AUGUSTUS SAINT-GAUDENS,599,1597482.60,District 2,2,074,27
,AMERICAN SIGN LANG & ENG SECONDAR,183,488045.60,District 2,2,074,28
,JHS 104 SIMON BARUCH,1030,2746923.33,District 2,2,074,27
,MS 255 SALK SCHOOL OF SCIENCE,379,1010761.11,District 2,2,074,27
,47 AMER SIGN LANG & ENG LOWER,152,405371.21,District 2,2,074,28
,SCHOOL OF THE FUTURE HIGH SCHOOL,715,1906844.84,District 2,2,074,28
,GRAMERCY ARTS HIGH SCHOOL,554,1477471.38,District 2,2,074,28
,HIGH SCHOOL-LANGUAGE AND DIPLOMACY,350,933420.55,District 2,2,074,28
,INST FOR COLLABORATIVE EDUCATION,463,1234782.04,District 2,2,074,27
,HS-HEALTH PROFESSIONS & HUMAN SVCS,1699,4531090.04,District 2,2,074,27
,INTERNATIONAL HS AT UNION SQUARE,328,874748.40,District 2,2,074,28
,WASHINGTON IRVING HIGH SCHOOL,308,821410.08,District 2,2,074,28
,MANHATTAN COMP NIGHT AND DAY HS,640,1706826.15,District 2,2,074,27
,PS 11 WILLIAM T HARRIS,799,2130865.77,District 2,2,075,27
,PS 33 CHELSEA PREP,529,1410798.49,District 2,2,075,31
,PS 212 MIDTOWN WEST,342,912085.22,District 2,2,075,27
,MS 260 CLINTON SCH WRITERS & ARTISTS,267,712066.53,District 2,2,075,31
,NYC LAB MS-COLLABORATIVE STUDIES,575,1533476.62,District 2,2,075,27
,NYC LAB HS-COLLABORATIVE STUDIES,599,1597482.60,District 2,2,075,27
,NYC MUSEUM SCHOOL,462,1232115.13,District 2,2,075,27
,JAMES BALDWIN SCHOOL (THE),231,616057.56,District 2,2,075,27
,MANHATTAN BUSINESS ACADEMY,425,1133439.24,District 2,2,075,27
,BUSINESS OF SPORTS SCHOOL,414,1104103.16,District 2,2,075,27
,PROFESSIONAL PERF ARTS HIGH SCHOOL,510,1360127.09,District 2,2,075,27
,BARUCH COLLEGE CAMPUS HIGH SCHOOL,440,1173442.98,District 2,2,075,28
,LANDMARK HIGH SCHOOL,391,1042764.10,District 2,2,075,27
,QUEST TO LEARN,480,1280119.61,District 2,2,075,27
,MANHATTAN ACAD-ARTS AND LANGUAGE,309,824077.00,District 2,2,075,28
,MURRAY HILL ACADEMY,304,810742.42,District 2,2,075,28
,HUDSON HS OF LEARNING TECHNOLOGIES,464,1237448.96,District 2,2,075,27
,MANHATTAN VILLAGE ACADEMY,415,1106770.08,District 2,2,075,28
,BALLET TECH/NYC PS FOR DANCE,149,397370.46,District 2,2,075,28
,UNITY CENTER FOR URBAN TECHNOLOGIES,255,680063.54,District 2,2,075,28
,URBAN ASSEMBLY GATEWAY SCHOOL-TECH,363,968090.46,District 2,2,075,27
,JACQUELINE KENNEDY-ONASSIS HIGH SCH,708,1888176.43,District 2,2,075,27
,REPERTORY COMPANY HS FOR THEATRE ART,236,629392.14,District 2,2,075,27
,LIBERTY HIGH SCH ACAD-NEWCOMERS,310,826743.92,District 2,2,075,27
,SATELLITE ACADEMY HIGH SCHOOL,255,680063.54,District 2,2,075,27
,HARVEY MILK HIGH SCHOOL,64,170682.61,District 2,2,075,27
,HIGH SCH OF FASHION INDUSTRIES (THE),1740,4640433.59,District 2,2,075,27
,HUMANITIES PREP ACADEMY,200,533383.17,District 2,2,075,27
,NORMAN THOMAS HIGH SCHOOL,169,450708.78,District 2,2,075,28
,HS OF GRAPHIC COMMUNICATION ARTS,715,1906844.84,District 2,2,075,27
,PS 51 ELIAS HOWE,284,757404.10,District 2,2,076,28
,PS 59 BEEKMAN HILL INTERNATIONAL,596,1589481.85,District 2,2,076,28
,EAST SIDE MIDDLE SCHOOL,445,1186777.56,District 2,2,076,28
,YORKVILLE COMMUNITY SCHOOL,480,1280119.61,District 2,2,076,28
,PS 158 BAYARD TAYLOR,710,1893510.26,District 2,2,076,28
,JHS 167 ROBERT F WAGNER,1338,3568333.41,District 2,2,076,28
,PS 183 ROBERT L STEVENSON,609,1624151.76,District 2,2,076,28
,PS/IS 217 ROOSEVELT ISLAND,476,1269451.95,District 2,2,076,29
,EAST SIDE ELEMENTARY-PS 267,227,605389.90,District 2,2,076,28
,PS 290 MANHATTAN NEW SCHOOL,674,1797501.29,District 2,2,076,28
,ELEANOR ROOSEVELT HIGH SCHOOL,533,1421466.15,District 2,2,076,28
,ELLA BAKER SCHOOL,267,712066.53,District 2,2,076,28
,VANGUARD HIGH SCHOOL,465,1240115.87,District 2,2,076,28
,MANHATTAN INTERNATIONAL HIGH SCHOOL,330,880082.23,District 2,2,076,28
,TALENT UNLIMITED HIGH SCHOOL,533,1421466.15,District 2,2,076,28
,URBAN ACAD LABORATORY HIGH SCHOOL,145,386702.80,District 2,2,076,28
,PS 11 HIGHBRIDGE,754,2010854.56,District 9,9,077,29
,JHS 22 JORDAN L MOTT,577,1538810.45,District 9,9,077,33
,PS 53 BASHEER QUISIM,1255,3346979.40,District 9,9,077,32
,PS 64 PURA BELPRE,467,1245449.70,District 9,9,077,29
,PS 88 S SILVERSTEIN LITTLE SPARROW,213,568053.08,District 9,9,077,29
,PS 109 SEDGWICK,761,2029522.97,District 9,9,077,29
,PS 126 DR MARJORIE H DUNBAR,659,1757497.55,District 9,9,077,29
,JHS 145 ARTURO TOSCANINI,418,1114770.83,District 9,9,077,32
,PS 170,276,736068.78,District 9,9,077,29
,PS 199 THE SHAKESPEARE SCHOOL,737,1965516.99,District 9,9,077,29
,PS 204 MORRIS HEIGHTS,543,1448135.31,District 9,9,077,29
,IS 229 ROLAND PATTERSON,201,536050.09,District 9,9,077,29
,PS 230 DR ROLAND N PATTERSON,197,525382.42,District 9,9,077,29
,IS 232,540,1440134.56,District 9,9,077,29
,IS 303 LEADERSHIP & COMM SERVICE,329,877415.32,District 9,9,077,29
,IS 313 SCHOOL OF LEADERSHIP DEV,380,1013428.03,District 9,9,077,33
,BRONX WRITING ACADEMY,499,1330791.01,District 9,9,077,33
,URBAN SCIENCE ACADEMY,373,994759.61,District 9,9,077,32
,NEW MILLENNIUM BUSINESS ACAD MS,188,501380.18,District 9,9,077,32
,IS 339,601,1602816.43,District 9,9,077,33
,FAMILY SCHOOL (THE),520,1386796.24,District 9,9,077,32
,SHERIDAN ACADEMY FOR YOUNG LEADERS,616,1642820.17,District 9,9,077,32
,EAGLE ACADEMY FOR YOUNG MEN,647,1725494.56,District 9,9,077,33
,DREAMYARD PREPARATORY SCHOOL,346,922752.89,District 9,9,077,33
,ACADEMY FOR LANGUAGE AND TECHNOLOGY,303,808075.50,District 9,9,077,29
,BRONX HIGH SCHOOL OF BUSINESS,352,938754.38,District 9,9,077,33
,BRONX HIGH SCHOOL FOR MEDICAL SCIE,468,1248116.62,District 9,9,077,33
,J LEVIN HIGH SCHOOL-MEDIA & COMMUN,248,661395.13,District 9,9,077,33
,PS 226,510,1360127.09,District 10,10,077,33
,PS 188,464,1237448.96,District 75,75,078,33
,PS 8 ISSAC VARIAN,1196,3189631.36,District 10,10,078,36
,PS 32 BELMONT,804,2144200.35,District 10,10,078,33
,THOMAS C GIORDANO MS 45,784,2090862.03,District 10,10,078,34
,PS 46 EDGAR ALLEN POE,1292,3445655.29,District 10,10,078,33
,PS 51 BRONX NEW SCHOOL,241,642726.72,District 10,10,078,33
,PS 54 FORDHAM BEDFORD ACADEMY,458,1221447.46,District 10,10,078,33
,PS 159 LUIS MUNOZ MARIN BILING,187,498713.26,District 10,10,078,33
,PS 205 FIORELLO LAGUARDIA,1025,2733588.75,District 10,10,078,33
,JONAS BRONCK ACADEMY,258,688064.29,District 10,10,078,33
,PS 246 POE CENTER,755,2013521.47,District 10,10,078,33
,IS 254,425,1133439.24,District 10,10,078,34
,PS 340,624,1664155.49,District 10,10,078,33
,WEST BRONX ACAD FOR THE FUTURE,617,1645487.08,District 10,10,078,34
,"KNOWLEDGE, POWER PREP ACAD INTER HS",472,1258784.28,District 10,10,078,34
,BELMONT PREPARATORY HIGH SCHOOL,406,1082767.84,District 10,10,078,34
,FORDHAM HIGH SCHOOL FOR THE ARTS,403,1074767.09,District 10,10,078,34
,FORDHAM LEADERSHIP-BUS/TECH,460,1226781.29,District 10,10,078,34
,BRONX HIGH SCHOOL-LAW & COMM SVC,414,1104103.16,District 10,10,078,34
,CROTONA INTERNATIONAL HIGH SCHOOL,243,648060.55,District 10,10,078,33
,GRACE H DODGE CAREER AND TECH HS,408,1088101.67,District 10,10,078,33
,PS 96 RICHARD RODGERS,977,2605576.79,District 11,11,078,34
,PS 57 CRESCENT,524,1397463.91,District 12,12,078,33
,FANNIE LOU HAMER MIDDLE SCHOOL,250,666728.96,District 12,12,078,33
,PS 17,407,1085434.75,District 75,75,079,32
,PS 186 WALTER J DAMROSCH SCHOOL,568,1514808.21,District 75,75,079,32
,PS/MS 29 MELROSE SCHOOL,699,1864174.18,District 7,7,079,32
,PS/MS 31 THE WILLIAM LLOYD GARRISON,641,1709493.06,District 7,7,079,29
,JHS 151 LOU GEHRIG,275,733401.86,District 7,7,079,29
,PS 157 GROVE HILL,626,1669489.33,District 7,7,079,32
,SO BRONX ACADEMY-APPLIED MEDIA,378,1008094.19,District 7,7,079,32
,ACADEMY OF PUBLIC RELATIONS,352,938754.38,District 7,7,079,32
,JILL CHAIFETZ TRANSFER HIGH SCHOOL,163,434707.28,District 7,7,079,32
,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,339,904084.47,District 7,7,079,32
,UNIVERSITY HEIGHTS SECONDARY SCHOOL,464,1237448.96,District 7,7,079,32
,PS 130 ABRAM STEVENS HEWITT,484,1290787.27,District 8,8,079,32
,PS 140 THE EAGLE SCHOOL,594,1584148.02,District 8,8,079,32
,PS 146 EDWARD COLLINS,418,1114770.83,District 8,8,079,32
,MS 301 PAUL L DUNBAR,224,597389.15,District 8,8,079,32
,JANE ADDAMS HS FOR ACADEMIC CAREERS,293,781406.35,District 8,8,079,32
,PS/MS 4 CROTONA PARK WEST,509,1357460.17,District 9,9,079,33
,PS 35 FRANZ SIEGEL,651,1736162.22,District 9,9,079,32
,PS 42 CLAREMONT,429,1144106.90,District 9,9,079,33
,PS 55 BENJAMIN FRANKLIN,659,1757497.55,District 9,9,079,33
,PS 63 AUTHOR'S ACADEMY,549,1464136.80,District 9,9,079,32
,PS 110 THEODORE SCHOENFELD,433,1154774.57,District 9,9,079,33
,MOTT HALL III,361,962756.62,District 9,9,079,33
,PS 132 GARRETT A MORGAN,491,1309455.69,District 9,9,079,32
,KAPPA,339,904084.47,District 9,9,079,33
,IS 219 NEW VENTURE SCHOOL,370,986758.87,District 9,9,079,33
,COMP MODEL SCH PROJECT MS 327,546,1456136.06,District 9,9,079,33
,GRANT AVENUE ELEMENTARY SCHOOL,431,1149440.73,District 9,9,079,32
,SCIENCE AND TECHNOLOGY ACADEMY,413,1101436.25,District 9,9,079,32
,URBAN ASSMBLY SCHOOL-APPL MATH,605,1613484.09,District 9,9,079,33
,EXIMIUS COLL PREP ACADEMY,422,1125438.49,District 9,9,079,33
,MOTT HALL BRONX HIGH SCHOOL,373,994759.61,District 9,9,079,33
,BRONX CENTER FOR SCI & MATH,458,1221447.46,District 9,9,079,33
,VALIDUS PREP ACADEMY,369,984091.95,District 9,9,079,33
,LEADERSHIP INSTITUTE,213,568053.08,District 9,9,079,33
,MORRIS ACADEMY FOR COLLA STUDIES,464,1237448.96,District 9,9,079,32
,BRONX EARLY COL ACAD-TEACH/LEARN,512,1365460.92,District 9,9,079,32
,BRONX INTERNATIONAL HIGH SCHOOL,395,1053431.76,District 9,9,079,32
,SCHOOL FOR EXCELLENCE,388,1034763.35,District 9,9,079,32
,"BRONX SCHOOL FOR LAW, GOV, JUSTICE",769,2050858.29,District 9,9,079,32
,FREDERICK DOUGLASS ACAD III,412,1098769.33,District 9,9,079,33
,HIGH SCHOOL FOR VIOLIN AND DANCE,376,1002760.36,District 9,9,079,32
,PS 44 DAVID C FARRAGUT,302,805408.59,District 12,12,079,33
,PS 50 CLARA BARTON,185,493379.43,District 12,12,079,32
,PS 61 FRANCISCO OLLER,337,898750.64,District 12,12,079,33
,PS 67 MOHEGAN SCHOOL,672,1792167.45,District 12,12,079,32
,PS 92,469,1250783.54,District 12,12,079,33
,JHS 98 HERMAN RIDDER,314,837411.58,District 12,12,079,33
,ACAD OF INDEPENDENT LRNING-LDERSHIP,514,1370794.75,District 12,12,079,33
,PS 134 GEORGE F BRISTOW,666,1776165.96,District 12,12,079,32
,ESMT-IS 190,253,674729.71,District 12,12,079,33
,PS 211,601,1602816.43,District 12,12,079,32
,PS 212,439,1170776.06,District 12,12,079,33
,PS 214,954,2544237.73,District 12,12,079,32
,FAIRMONT NEIGHBORHOOD SCHOOL,186,496046.35,District 12,12,079,33
,KAPPA III,338,901417.56,District 12,12,079,33
,"IS 318 MATH, SCIENCE & TECH THRO ART",333,888082.98,District 12,12,079,33
,ACCION ACADEMY,177,472044.11,District 12,12,079,33
,URBAN ASSEMBLY-WILDLIFE CONSERVATION,551,1469470.64,District 12,12,079,32
,URBAN SCHOLARS COMMUNITY SCHOOL,280,746736.44,District 12,12,079,32
,EXPLORATIONS ACADEMY,357,952088.96,District 12,12,079,33
,PERFORMANCE CONSERVATORY HS,31,82674.39,District 12,12,079,33
,BRONX LATIN SCHOOL,521,1389463.16,District 12,12,079,32
,EAST BRONX ACADEMY FOR THE FUTURE,604,1610817.18,District 12,12,079,33
,BRONX CAREER AND COLLEGE PREP HS,323,861413.82,District 12,12,079,32
,BRONX REGIONAL HIGH SCHOOL,187,498713.26,District 12,12,079,32
,BRONX ENVISION ACADEMY,236,629392.14,District 12,12,079,33
,PS 20 PO GEORGE J WERDAN III,1067,2845599.22,District 10,10,080,36
,PS 56 NORWOOD HEIGHTS,681,1816169.70,District 10,10,080,36
,JHS 80 THE MOSHOLU PARKWAY,622,1658821.66,District 10,10,080,36
,PS/MS 280 MOSHOLU PARKWAY,866,2309549.13,District 10,10,080,36
,PS 41 GUN HILL ROAD,875,2333551.37,District 11,11,080,36
,PS 76 THE BENNINGTON SCHOOL,1048,2794927.82,District 11,11,080,36
,PS 83 DONALD HERTZ,1680,4480418.64,District 11,11,080,34
,PS 89,1369,3651007.81,District 11,11,080,34
,PS 97,706,1882842.59,District 11,11,080,34
,PS 105 SEN ABRAHAM BERNSTEIN,1444,3851026.50,District 11,11,080,34
,PS 108 PHILIP J ABINANTI,587,1565479.61,District 11,11,080,34
,PS 121 THROOP,969,2584241.46,District 11,11,080,36
,JHS 144 MICHELANGELO,710,1893510.26,District 11,11,080,34
,ASPIRE PREPARATORY MIDDLE SCHOOL,96,256023.92,District 11,11,080,34
,BRONX GREEN MIDDLE SCHOOL,405,1080100.92,District 11,11,080,34
,PELHAM ACAD-ACADEMICS AND COMMUNITY,321,856079.99,District 11,11,080,34
,PS/MS 498 VAN NEST ACADEMY,514,1370794.75,District 11,11,080,34
,COLLEGIATE INST FOR MATH & SCI,654,1744162.97,District 11,11,080,34
,ASTOR COLLEGIATE ACADEMY,475,1266785.03,District 11,11,080,34
,CHRISTOPHER COLUMBUS HIGH SCHOOL,155,413371.96,District 11,11,080,34
,BRONX HIGH SCHOOL FOR THE VISUAL ART,498,1328124.10,District 11,11,080,34
,BRONXDALE HIGH SCHOOL,333,888082.98,District 11,11,080,34
,HIGH SCHOOL FOR LAN-INNO,249,664062.05,District 11,11,080,34
,GLOBAL ENTERPRISE HIGH SCHOOL,40,106676.63,District 11,11,080,34
,PELHAM PREPARATORY ACADEMY,481,1282786.53,District 11,11,080,34
,PS 7 KINGSBRIDGE,703,1874841.85,District 10,10,081,34
,PS 24 SPUYTEN DUYVIL,931,2482898.66,District 10,10,081,34
,PS 37 MULTIPLE INTELLIGENCE SCHOOL,635,1693491.57,District 10,10,081,34
,PS 81 ROBERT J CHRISTEN,647,1725494.56,District 10,10,081,34
,PS 86 KINGSBRIDGE HEIGHTS,1575,4200392.47,District 10,10,081,33
,PS 94 KINGS COLLEGE SCHOOL,1189,3170962.95,District 10,10,081,36
,PS 95 SHEILA MENCHER,1308,3488325.94,District 10,10,081,34
,PS 207,362,965423.54,District 10,10,081,33
,NEW SCHOOL-LEADERSHIP & JOURNAL,788,2101529.69,District 10,10,081,33
,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,369,984091.95,District 10,10,081,33
,BRONX DANCE ACADEMY SCHOOL,238,634725.97,District 10,10,081,36
,AMPARK NEIGHBORHOOD,331,882749.15,District 10,10,081,34
,PS 360,483,1288120.36,District 10,10,081,33
,IN-TECH ACADEMY (MS/HS 368),1040,2773592.49,District 10,10,081,34
,RIVERDALE/KINGSBRIDGE (MS/HS 141),1353,3608337.15,District 10,10,081,34
,MARIE CURIE HIGH SCHOOL-NURSING,568,1514808.21,District 10,10,081,33
,KINGSBRIDGE INTNL HIGH SCHOOL,406,1082767.84,District 10,10,081,33
,INTERNATIONAL SCHOOL FOR LIBERAL ART,545,1453469.14,District 10,10,081,33
,HS FOR TEACHING AND PROFESSIONS,501,1336124.84,District 10,10,081,33
,DEWITT CLINTON HIGH SCHOOL,2707,7219341.22,District 10,10,081,34
,CELIA CRUZ BRONX HS OF MUSIC (THE),437,1165442.23,District 10,10,081,33
,BRONX HIGH SCHOOL OF SCIENCE,3037,8099423.45,District 10,10,081,34
,DISCOVERY HIGH SCHOOL,534,1424133.07,District 10,10,081,33
,HS AMER STUDIES AT LEHMAN COLL,388,1034763.35,District 10,10,081,34
,PS 16 WAKEFIELD,509,1357460.17,District 11,11,081,36
,PS 19 JUDITH K WEISS,492,1312122.60,District 11,11,081,34
,PS 103 HECTOR FONTANEZ,1125,3000280.34,District 11,11,081,36
,PS 10,500,1333457.93,District 75,75,082,34
,PS 12 LEWIS AND CLARK SCHOOL,245,653394.38,District 75,75,082,34
,PS 176,750,2000186.89,District 75,75,082,36
,PS 721 STEVEN MCSWEENEY SCHOOL,524,1397463.91,District 75,75,082,34
,PS 14 SENATOR JOHN CALANDRA,609,1624151.76,District 8,8,082,34
,PS 71 ROSE E SCALA,1714,4571093.78,District 8,8,082,34
,PS 72 DR WILLIAM DORNEY,820,2186871.00,District 8,8,082,34
,MS 101 EDWARD R BYRNE,486,1296121.11,District 8,8,082,34
,PS 304 EARLY CHILDHOOD SCHOOL,483,1288120.36,District 8,8,082,34
,URBAN ASSEMBLY ACAD-CIVIC ENGAGEMENT,161,429373.45,District 8,8,082,34
,URBAN INSTITUTE OF MATHEMATICS,289,770738.68,District 8,8,082,34
,MOTT HALL COMMUNITY SCHOOL,257,685397.37,District 8,8,082,34
,RENAISSANCE HIGH SCHOOL-MTT,451,1202779.05,District 8,8,082,34
,HERBERT H LEHMAN HIGH SCHOOL,2057,5485845.91,District 8,8,082,34
,PS 153 HELEN KELLER,662,1765498.30,District 11,11,082,36
,PS 160 WALT DISNEY,363,968090.46,District 11,11,082,36
,PS 175 CITY ISLAND,325,866747.65,District 11,11,082,34
,PS 178 DR SELMAN WAKSMAN,479,1277452.69,District 11,11,082,36
,MS 180 DR DANIEL HALE WILLIAMS,858,2288213.80,District 11,11,082,36
,IS 181 PABLO CASALS,873,2328217.54,District 11,11,082,36
,PS/MS 194,1406,3749683.69,District 11,11,082,34
,BRONX HEALTH SCIENCES HIGH SCHOOL,348,928086.72,District 11,11,082,36
,HARRY S TRUMAN HIGH SCHOOL,1911,5096476.20,District 11,11,082,36
,PS 723,540,1440134.56,District 75,75,083,36
,PS 21 PHILIP H SHERIDAN,688,1834838.11,District 11,11,083,36
,PS 68,758,2021522.22,District 11,11,083,36
,PS 78 ANNE HUTCHINSON,788,2101529.69,District 11,11,083,36
,PS 87,631,1682823.90,District 11,11,083,36
,PS 111 SETON FALLS,690,1840171.94,District 11,11,083,36
,PS 112 BRONXWOOD,423,1128105.41,District 11,11,083,36
,MS 142 JOHN PHILIP SOUSA,195,520048.59,District 11,11,083,36
,BAYCHESTER ACADEMY,397,1058765.59,District 11,11,083,36
,CORNERSTONE ACAD FOR SOCIAL ACTION,336,896083.73,District 11,11,083,36
,FORWARD SCHOOL (THE),256,682730.46,District 11,11,083,36
,YOUNG SCHOLARS ACADEMY-BRONX,326,869414.57,District 11,11,083,36
,SCHOOL OF DIPLOMACY,277,738735.69,District 11,11,083,36
,CORNERSTONE ACAD-SOCIAL ACTION-MS,247,658728.22,District 11,11,083,36
,ONE WORLD MS AT EDENWALD,345,920085.97,District 11,11,083,36
,BAYCHESTER MIDDLE SCHOOL,275,733401.86,District 11,11,083,36
,BRONX HIGH SCH-WRITING & COMM ARTS,401,1069433.26,District 11,11,083,36
,BRONX LAB SCHOOL,472,1258784.28,District 11,11,083,36
,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,439,1170776.06,District 11,11,083,36
,GLOBE SCHOOL-ENVIRNM RESEARCH,298,794740.92,District 11,11,083,36
,HIGH SCHOOL-COMPUTERS & TECHNOLOGY,549,1464136.80,District 11,11,083,36
,BRONX ACADEMY OF HEALTH CAREERS,453,1208112.88,District 11,11,083,36
,NEW WORLD HIGH SCHOOL,408,1088101.67,District 11,11,083,36
,BRONXWOOD PREP ACADEMY (THE),402,1072100.17,District 11,11,083,36
,HIGH SCHOOL OF CONTEMPORARY ARTS,509,1357460.17,District 11,11,083,36
,BRONX AEROSPACE HIGH SCHOOL,396,1056098.68,District 11,11,083,36
,PS 168,482,1285453.44,District 75,75,084,29
,VIDA BOGART SCHOOL FOR ALL CHILDREN,514,1370794.75,District 75,75,084,32
,JM RAPPORT SCHOOL FOR CAREER DVLPMNT,575,1533476.62,District 75,75,084,29
,PS 1 COURTLANDT SCHOOL,645,1720160.73,District 7,7,084,29
,PS 5 PORT MORRIS,655,1746829.89,District 7,7,084,29
,PS 18 JOHN PETER ZENGER,506,1349459.42,District 7,7,084,29
,PS 25 BILINGUAL SCHOOL,438,1168109.14,District 7,7,084,29
,PS 30 WILTON,520,1386796.24,District 7,7,084,29
,PS 43 JONAS BRONCK,465,1240115.87,District 7,7,084,29
,PS 49 WILLIS AVENUE,622,1658821.66,District 7,7,084,29
,PS 65 MOTHER HALE ACADEMY,425,1133439.24,District 7,7,084,29
,PS 154 JONATHAN D HYATT,412,1098769.33,District 7,7,084,29
,PS 161 PONCE DE LEON,497,1325457.18,District 7,7,084,29
,JHS 162 LOLA RODRIGUEZ DE TIO,390,1040097.18,District 7,7,084,32
,PS 179,346,922752.89,District 7,7,084,29
,MS 203,173,461376.44,District 7,7,084,29
,MS 223 LAB SCHOOL OF FIN & TECH,452,1205445.97,District 7,7,084,29
,PS/IS 224,330,880082.23,District 7,7,084,29
,PS 277,395,1053431.76,District 7,7,084,29
,ACADEMY OF APPLIED MATH AND TECH,296,789407.09,District 7,7,084,29
,YOUNG LEADERS ELEMENTARY SCHOOL,280,746736.44,District 7,7,084,29
,PERFORMANCE SCHOOL,231,616057.56,District 7,7,084,29
,SOUTH BRONX PREPARATORY,644,1717493.81,District 7,7,084,29
,CROTONA ACADEMY HIGH SCHOOL,97,258690.84,District 7,7,084,32
,INTERNATIONAL COMMUNITY HIGH SCHOOL,406,1082767.84,District 7,7,084,29
,BRONX HAVEN HIGH SCHOOL,149,397370.46,District 7,7,084,29
,COMMUNITY SCHOOL-SOCIAL JUSTICE,335,893416.81,District 7,7,084,29
,HOSTOS-LINCOLN ACADEMY OF SCIENCE,531,1416132.32,District 7,7,084,29
,FOREIGN LANG ACAD OF GLOBAL STUDIES,178,474711.02,District 7,7,084,29
,BRONX DESIGN-CONSTRUCTION ACADEMY,427,1138773.07,District 7,7,084,29
,BRONX LEADERSHIP ACAD II HIGH SCHOOL,515,1373461.67,District 7,7,084,29
,NEW EXPLORERS HIGH SCHOOL,461,1229448.21,District 7,7,084,29
,URBAN ASSEMBLY SCHOOL CAR IN SPORTS,566,1509474.37,District 7,7,084,29
,URBAN ASSEMBLY BRONX OF LETTERS,577,1538810.45,District 7,7,084,29
,ALFRED E SMITH CAREER-TECH HIGH SCH,393,1048097.93,District 7,7,084,29
,SAMUEL GOMPERS CAREER/TECH ED HS,236,629392.14,District 7,7,084,29
,HEALTH OPPORTUNITIES HIGH SCHOOL,582,1552145.03,District 7,7,084,29
,PS 48 JOSEPH R DRAKE,752,2005520.72,District 8,8,084,34
,PS 62 INOCENSIO CASANOVA,698,1861507.27,District 8,8,084,32
,MS 302 LUISA DESSUS CRUZ,600,1600149.51,District 8,8,084,32
,HUNTS POINT SCHOOL (THE),356,949422.04,District 8,8,084,32
,HOLCOMBE L RUCKER SCHOOL OF COMMUNIT,248,661395.13,District 8,8,084,32
,BANANA KELLY HIGH SCHOOL,347,925419.80,District 8,8,084,32
,PS 73 BRONX,824,2197538.66,District 9,9,084,29
,PS 114 LUIS LORENS TORRES SCHOOL,856,2282879.97,District 9,9,084,29
,PS/IS 218 R H DUAL LANG MAGNET,931,2482898.66,District 9,9,084,29
,PS 811,624,1664155.49,District 75,75,085,32
,PS 69 JOURNEY PREP SCHOOL,539,1437467.65,District 8,8,085,34
,PS 75,549,1464136.80,District 8,8,085,32
,PS 93 ALBERT G OLIVER,331,882749.15,District 8,8,085,32
,PS 100 ISAAC CLASON,568,1514808.21,District 8,8,085,32
,PS 107,477,1272118.86,District 8,8,085,34
,JHS 123 JAMES M KIERNAN,486,1296121.11,District 8,8,085,32
,JHS 131 ALBERT EINSTEIN,718,1914845.58,District 8,8,085,34
,PS 152 EVERGREEN,896,2389556.61,District 8,8,085,32
,PS 333 THE MUSEUM SCHOOL,406,1082767.84,District 8,8,085,32
,ACADEMY OF THE ARTS (THE),260,693398.12,District 8,8,085,32
,SCHOOL FOR INQUIRY & SOCIAL JUSTICE,320,853413.07,District 8,8,085,32
,BRONX MATHEMATICS PREP SCH (THE),278,741402.61,District 8,8,085,34
,SOUNDVIEW ACADEMY,304,810742.42,District 8,8,085,34
,BRONX STUDIO SCHOOL-WRITERS-ARTISTS,548,1461469.89,District 8,8,085,32
,WOMEN'S ACADEMY OF EXCELLENCE,370,986758.87,District 8,8,085,34
,"ARCHIMEDES ACAD-MATH, SCI, TECH",642,1712159.98,District 8,8,085,34
,F R DE GAUTIER INST-LAW & POLICY,329,877415.32,District 8,8,085,34
,BRONX ARENA HIGH SCHOOL,186,496046.35,District 8,8,085,34
,BRONX COMPASS HIGH SCHOOL,186,496046.35,District 8,8,085,34
,PS 66 SCHOOL OF HIGHER EXPECTATIONS,614,1637486.34,District 12,12,085,32
,PS 150 CHARLES JAMES FOX,882,2352219.78,District 12,12,085,32
,PS 195,905,2413558.85,District 12,12,085,32
,PS 196,881,2349552.87,District 12,12,085,32
,MOTT HALL V,656,1749496.80,District 12,12,085,32
